ALDEx2 Differential Abundance of Dams Wk2-Wk4 AMP vs Mock											
taxa n=19	we.ep	we.eBH	wi.ep	wi.eBH	rab.all	rab.win.mom.Amp	rab.win.mom.Mock	diff.btw	diff.win	effect	overlap
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	5.03E-16	1.26E-14	1.51E-11	3.77E-10	10.7541882	14.0238844	9.61999117	-4.3497589	1.00050147	-4.3297371	7.31E-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	6.33E-15	1.58E-13	1.96E-09	2.96E-08	8.06242257	2.90728355	10.3948027	7.15917464	1.82103865	3.83868308	7.31E-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales	9.30E-10	1.15E-08	2.48E-08	2.07E-07	-0.2939859	1.84858069	-2.1948934	-3.9791118	1.60911868	-2.3623869	0.008326
k__Bacteria;__;__;__	4.65E-10	4.84E-09	1.30E-08	7.23E-08	5.43063956	2.70881214	7.08164851	4.4488751	1.99685973	2.16826772	0.01250089
k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39	2.29E-06	1.05E-05	8.01E-09	5.27E-08	0.67445343	-3.7060944	3.37389916	6.97720097	3.32970693	2.13525335	0.00416936
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales	4.11E-07	2.14E-06	1.40E-08	7.78E-08	1.45800133	-0.8803409	5.93077178	7.22432422	4.08315424	1.74669848	0.00937619
k__Bacteria;p__Proteobacteria;__;__	8.62E-06	3.72E-05	3.35E-08	1.56E-07	0.8779277	-2.5309944	3.04059933	6.08324785	3.55680459	1.69375981	0.01354249
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	2.92E-07	2.07E-06	1.44E-08	1.28E-07	0.18229197	7.66958723	-2.4181022	-9.5825078	5.67592681	-1.628766	0.01250089
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta	0.00084314	0.00216424	1.51E-05	6.72E-05	-1.4879406	0.69069081	-2.6216676	-3.2792689	2.00346937	-1.5592414	0.06770849
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	4.67E-05	0.00018909	1.75E-06	7.03E-06	-0.7360835	-3.9474465	0.47536011	4.64823483	2.86446185	1.49388077	0.02395879
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	0.01025708	0.02224756	0.00035092	0.00109138	-2.5891909	-0.0812847	-3.40302	-3.2817409	2.26486456	-1.2233772	0.11654535
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	0.00614936	0.01424987	0.00243134	0.0055837	-4.2578298	-1.4861683	-5.9463276	-4.0810247	3.99078451	-0.9292883	0.12799175
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	0.05042709	0.09354327	0.00265156	0.00674192	-1.5269184	0.13565377	-2.1226307	-2.2735086	2.13884633	-0.852081	0.15920921
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales	0.00758162	0.0221151	0.00220628	0.00632945	-0.2579934	-3.2111147	1.17899151	4.42161055	4.5087222	0.84341001	0.18854171
k__Bacteria;p__Firmicutes;c__Clostridia;__	0.01247111	0.03429814	0.002203	0.0062757	-1.7090858	-3.706901	-0.812805	2.98793797	3.23301422	0.78641096	0.15312506
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales	0.00429127	0.01274851	0.00091986	0.00283052	1.16631353	0.20134288	2.85922784	3.05678724	3.81427799	0.77269439	0.16545271
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	0.04304588	0.07759737	0.03015268	0.04819931	-5.9137504	-3.8417163	-7.3012749	-3.4606408	4.46551778	-0.7097349	0.20083251
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales	0.02024847	0.05007585	0.00827929	0.019751	8.55716912	10.5426731	8.07857827	-2.4890565	3.1097123	-0.6518075	0.2260417
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	0.05170189	0.08969253	0.02470172	0.04927773	-5.8967934	-4.012613	-7.0985634	-3.1472893	4.21153118	-0.650978	0.19895838
											
ALDEx2 Differential Abundance of Dams Wk2-Wk4 AMOX/CLAV vs Mock											
taxa n=19	we.ep	we.eBH	wi.ep	wi.eBH	rab.all	rab.win.mom.Augmentin	rab.win.mom.Mock	diff.btw	diff.win	effect	overlap
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	2.21E-14	5.95E-13	5.01E-13	3.63E-12	4.69740948	3.59412554	11.4171331	7.51930114	1.57622447	4.54009099	6.09E-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	2.67E-14	7.75E-13	8.47E-11	2.14E-09	12.6668823	14.4713675	10.7572526	-3.7170312	1.24477372	-2.8199998	0.0026049
