Feature_ID	VIP_comp_1	Loading	mz	RT	Corr_ID	Compound_Name
3793	4.327119	-0.05059	162.0551	2.834888	55	Spectral Match to Indole-2-carboxylic acid from NIST14
3798	3.984403	0.04658	493.2815	2.848764	76	NA
1710	3.849052	0.044997	270.1926	1.589707	31	NA
683	3.758205	0.043935	241.1547	0.715136	388	N,N-dimethyl-proline-proline betaine
340	3.704821	0.043311	229.1548	0.542662	388	229 TMAP based onhttps://pubs.acs.org/doi/abs/10.1021/acs.analchem.1c04378
1744	3.661325	0.042803	281.1497	1.40348	84	NA
7100	3.657333	-0.04276	293.2474	5.075865	NA	Spectral Match to 9Z,11E,13E-Octadecatrienoic acid methyl ester from NIST14
490	3.618458	0.042302	229.1548	0.602969	388	NA
629	3.608785	0.042189	229.1548	0.682696	388	229 TMAP based onhttps://pubs.acs.org/doi/abs/10.1021/acs.analchem.1c04378
2665	3.593429	0.042009	346.1157	2.212977	433	NA
529	3.554805	0.041557	241.1546	0.629396	388	N,N-dimethyl-proline-proline betaine
7280	3.537376	0.041354	513.3196	5.209908	141	NA
3524	3.523993	0.041197	365.1557	2.679751	509	NA
7284	3.480289	-0.04069	499.3377	5.151648	451	NA
1531	3.474918	0.040624	281.1497	1.364446	84	NA
7258	3.471849	-0.04059	293.2474	5.238387	2	Spectral Match to 13(S)-HODE methyl ester from NIST14
331	3.44663	0.040293	280.1392	0.531508	205	NA
6391	3.412276	0.039891	410.2902	4.632852	355	NA
316	3.397173	0.039715	241.1546	0.575134	388	NA
3537	3.387626	-0.0396	330.1198	2.680361	509	NA
6054	3.372599	0.039427	394.2259	4.333078	256	NA
6871	3.348285	0.039143	391.2151	4.928891	169	NA
1859	3.337636	0.039019	307.1653	1.643467	31	NA
4228	3.325057	-0.03887	235.1078	3.116378	NA	NA
2166	3.297751	0.038552	183.1015	1.935224	NA	NA
1272	3.296	0.038532	229.1548	1.168315	175	Spectral Match to Pro-Leu from NIST14
1539	3.294132	0.03851	282.154	1.372253	84	NA
1245	3.288039	-0.03844	260.1063	1.138259	NA	NA
5087	3.268395	-0.03821	593.3332	3.665219	256	NA
2836	3.243345	-0.03792	355.114	2.29346	239	NA
2828	3.228961	0.037748	161.1075	2.285873	NA	tryptamine CollisionEnergy:205060
4120	3.223314	0.037682	179.1068	3.048755	360	NA
427	3.204691	-0.03746	154.0976	0.540284	458	Candidate Histamine-C2:0 (delta mass:42.0104)
5845	3.187452	0.037263	410.2211	4.206835	256	NA
3207	3.175767	-0.03713	449.2323	2.459795	NA	NA
7201	3.17216	0.037084	517.3501	5.152151	NA	NA
715	3.166405	0.037017	254.1609	0.746371	388	NA
1426	3.153877	0.03687	210.0799	1.279225	329	Candidate Taurine-C5:0 (delta mass:84.0581)
1069	3.147217	0.036793	200.0354	1.036219	NA	NA
5108	3.121593	-0.03649	595.3448	3.678758	256	Stercobilin
542	3.113507	0.036398	242.1583	0.720459	388	NA
5165	3.108821	0.036344	494.2261	3.728542	NA	NA
6055	3.10298	0.036275	399.1812	4.339295	256	NA
380	3.0881	0.036101	294.1548	0.646276	205	Massbank:PR310824 N-Fructosyl isoleucine
6508	3.053438	0.035696	344.2796	4.705407	1	LAUROYLCARNITINE
325	3.053299	-0.03569	130.0865	0.433013	378	L-PIPECOLIC ACID - 50.0 eV
528	3.051976	0.035679	235.1189	0.594265	388	Spectral Match to His-Pro from NIST14
3997	3.045456	0.035603	885.5056	2.967194	124	NA
3522	3.024062	0.035353	291.1457	2.6758	NA	NA
6572	3.017635	-0.03528	279.2319	4.6981	NA	Spectral Match to 9(10)-EpOME from NIST14
5409	2.992745	0.034987	401.3377	3.8954	477	NA
436	2.981373	-0.03485	146.1177	0.519521	18	NA
4184	2.978313	0.034818	502.2902	3.038741	100	NA
954	2.972359	0.034748	181.0973	0.889023	175	NA
111	2.967917	0.034696	251.1603	0.3851	498	NA
5257	2.964578	0.034657	400.2693	3.935092	256	NA
6365	2.959798	-0.0346	279.2319	4.610948	504	Spectral Match to 9(10)-EpOME from NIST14
4175	2.958247	-0.03458	146.0602	3.044826	NA	2-Hydroxyquinoline CollisionEnergy:205060
1718	2.952653	0.034518	235.1096	1.600515	NA	NA
6864	2.943375	0.03441	408.2418	4.907803	169	NA
1804	2.937888	0.034345	192.1021	1.64417	NA	NA
3792	2.931261	-0.03427	258.2064	2.840703	372	NA
6809	2.928032	0.03423	370.2953	4.915829	80	NA
2531	2.911451	0.034036	265.1549	2.287908	214	Spectral Match to Phe-Val from NIST14
7591	2.909845	0.034018	495.3084	5.558492	176	NA
3914	2.898817	0.033889	634.334	2.911372	100	NA
737	2.895074	0.033845	256.1768	0.765196	388	NA
891	2.881427	0.033685	328.1391	0.898849	175	Massbank:PR310826 N-Fructosyl phenylalanine
653	2.871129	0.033565	210.076	0.662357	NA	NA
3960	2.869352	0.033544	262.1652	2.996389	NA	NA
6539	2.857606	0.033407	368.2796	4.690112	1	NA
3973	2.856254	0.033391	454.234	2.958629	42	NA
3795	2.855977	0.033388	985.5546	2.847461	76	NA
6041	2.849456	0.033312	414.3211	4.34952	256	NA
1199	2.848356	0.033299	227.1026	1.115356	175	Spectral Match to PyroGlu-Pro from NIST14
3943	2.847939	0.033294	738.3689	2.944052	124	NA
3992	2.844221	0.03325	335.1716	2.970908	42	NA
7239	2.841393	-0.03322	615.3643	5.218713	2	NA
288	2.841376	-0.03322	217.0684	0.47001	323	NA
1328	2.840995	0.033213	160.0759	1.166176	54	NA
1054	2.838821	-0.03319	362.1579	0.98786	502	NA
1239	2.833065	0.03312	182.0793	1.138546	175	NA
320	2.824446	-0.03302	154.0976	0.503649	458	Candidate Histamine-C2:0 (delta mass:42.0104)
208	2.821332	0.032983	319.1623	0.448046	264	NA
3467	2.810465	-0.03286	239.1391	2.652376	509	NA
3929	2.802196	0.032759	444.2761	2.919537	100	NA
858	2.797756	0.032707	253.1547	0.875263	NA	NA
1061	2.795144	0.032677	238.1076	1.00286	NA	NA
2495	2.781544	-0.03252	343.1874	2.138076	NA	NA
6179	2.766795	0.032345	430.3165	4.459969	409	"Candidate Dihydroxylated bile acid (delta mass 37.0162; sirius atomic difference: -1C, 3H, 1N, 2O; buddy atomic difference: -1C, 3H, 1N, 2O)"
993	2.76398	0.032312	395.203	1.00837	71	NA
1391	2.761443	0.032283	196.1448	1.267564	329	NA
309	2.75878	-0.03225	190.1439	0.480463	NA	NA
5589	2.757463	-0.03224	229.1435	4.053288	445	Traumatic Acid - 40.0 eV
6255	2.750509	0.032155	342.2639	4.500218	383	NA
6211	2.747642	-0.03212	313.2373	4.507488	495	NA
6311	2.747484	-0.03212	277.2164	4.504528	495	NA
5769	2.747387	0.032118	359.3268	4.160777	256	NA
1204	2.745454	0.032096	146.1178	1.125478	NA	NA
521	2.743984	0.032079	215.1391	0.680151	205	Spectral Match to Pro-Val from NIST14
1587	2.741734	0.032052	223.1442	1.292106	NA	NA
3656	2.728897	0.031902	620.3184	2.753856	292	NA
5879	2.728561	0.031898	392.2101	4.244053	256	NA
4114	2.703147	0.031601	373.2569	3.035393	360	NA
1009	2.699957	-0.03156	373.1601	0.969251	280	NA
119	2.696986	0.031529	274.1398	0.404359	513	NA
6511	2.694635	0.031502	319.1904	4.708046	62	NA
4720	2.691494	0.031465	484.2797	3.426676	233	NA
5396	2.689843	0.031446	432.2417	3.947299	NA	NA
7943	2.685292	0.031392	502.3589	5.883294	79	NA
6673	2.675076	-0.03127	295.2267	4.821563	147	NA
572	2.671488	0.031231	166.0724	0.618246	388	NA
3459	2.665374	0.03116	441.2239	2.661461	75	NA
4717	2.661989	0.03112	416.2264	3.418335	83	NA
1224	2.658553	-0.03108	419.1772	1.132953	175	NA
1159	2.648167	0.030958	328.1391	0.964857	175	NA
7328	2.644899	0.03092	398.3268	5.279836	298	NA
7950	2.644037	0.03091	501.3554	5.889348	79	NA
5664	2.641374	0.030879	402.2843	4.027996	256	NA
3815	2.641309	0.030878	347.1677	2.859967	242	NA
2650	2.639666	-0.03086	298.1162	2.204938	NA	NA
1785	2.632293	-0.03077	315.1822	1.584915	31	NA
7136	2.631652	-0.03077	598.3376	5.154593	2	NA
7730	2.631321	-0.03076	481.3288	5.661551	195	NA
1903	2.627161	-0.03071	286.1397	1.767052	82	NA
3144	2.624433	0.030681	309.1808	2.398371	NA	NA
6060	2.622081	0.030653	359.1884	4.357466	256	NA
445	2.618373	-0.03061	176.1283	0.556404	253	NA
3913	2.617554	0.030601	565.1555	2.910387	42	Corymboside
4129	2.615554	0.030577	243.1229	3.048581	360	NA
1310	2.612639	0.030543	395.2033	1.197985	175	NA
4365	2.612568	0.030542	556.3278	3.208658	NA	NA
7009	2.609553	0.030507	396.3111	5.038479	NA	"Candidate Dihydroxylated bile acid (delta mass 3.0112; sirius atomic difference: -1C, 1H, 1N; buddy atomic difference: -1C, 1H, 1N)"
2032	2.609238	0.030503	304.1766	1.812973	82	NA
1838	2.6084	0.030494	260.1394	1.63202	NA	NA
3692	2.603203	-0.03043	273.1234	2.76036	509	NA
7291	2.596857	0.030359	503.3706	5.204888	NA	NA
892	2.59348	0.030319	371.145	0.900031	NA	NA
151	2.591394	0.030295	246.1813	0.43005	NA	NA
3128	2.589324	-0.03027	371.1932	2.456245	NA	NA
5237	2.575789	0.030112	406.1499	3.787407	431	NA
4194	2.574667	0.030099	366.2028	3.095433	NA	NA
3967	2.570986	0.030056	305.1611	2.952042	42	NA
2675	2.567724	0.030018	211.1164	2.299419	214	NA
3989	2.56566	0.029994	874.4422	2.969561	NA	NA
296	2.561555	0.029946	101.0603	0.457045	290	Spectral Match to 5-Aminovaleric acid from NIST14
