id	time	ab	vaccine	age_ab_time	age_ab	shannon_entropy
15920.MOIC10D15	t=3	Augmentin	PBS	infant-Augmentin-t=3	infant-Augmentin	4.61061398
15920.MOIC10D22	t=4	Augmentin	PBS	infant-Augmentin-t=4	infant-Augmentin	3.32870657
15920.MOIC10D29	t=5	Augmentin	PBS	infant-Augmentin-t=5	infant-Augmentin	3.9358665
15920.MOIC11D15	t=3	Augmentin	PCV	infant-Augmentin-t=3	infant-Augmentin	5.15589344
15920.MOIC11D22	t=4	Augmentin	PCV	infant-Augmentin-t=4	infant-Augmentin	3.31596469
15920.MOIC11D29	t=5	Augmentin	PCV	infant-Augmentin-t=5	infant-Augmentin	4.15027885
15920.MOIC12D14	t=3	Augmentin	PBS	infant-Augmentin-t=3	infant-Augmentin	3.02519666
15920.MOIC12D21	t=4	Augmentin	PBS	infant-Augmentin-t=4	infant-Augmentin	2.97499926
15920.MOIC12D28	t=5	Augmentin	PBS	infant-Augmentin-t=4	infant-Augmentin	4.80303247
15920.MOIC13D15	t=3	Augmentin	PCV	infant-Augmentin-t=3	infant-Augmentin	3.18087792
15920.MOIC13D22	t=4	Augmentin	PCV	infant-Augmentin-t=4	infant-Augmentin	0.06301801
15920.MOIC13D29	t=5	Augmentin	PCV	infant-Augmentin-t=5	infant-Augmentin	0.53440375
15920.MOIC14D14	t=3	Augmentin	PCV	infant-Augmentin-t=3	infant-Augmentin	4.69762278
15920.MOIC14D21	t=4	Augmentin	PCV	infant-Augmentin-t=4	infant-Augmentin	4.59372911
15920.MOIC14D28	t=5	Augmentin	PCV	infant-Augmentin-t=4	infant-Augmentin	3.47017844
15920.MOIC15D14	t=3	Mock	PCV	infant-Mock-t=3	infant-Mock	4.99870726
15920.MOIC15D21	t=4	Mock	PCV	infant-Mock-t=4	infant-Mock	5.31688497
15920.MOIC15D28	t=5	Mock	PCV	infant-Mock-t=4	infant-Mock	4.44429841
15920.MOIC16D14	t=3	Mock	PCV	infant-Mock-t=3	infant-Mock	4.68631752
15920.MOIC16D21	t=4	Mock	PCV	infant-Mock-t=4	infant-Mock	4.73107136
15920.MOIC16D28	t=5	Mock	PCV	infant-Mock-t=4	infant-Mock	5.04743651
15920.MOIC17D14	t=3	Mock	PCV	infant-Mock-t=3	infant-Mock	6.20781437
15920.MOIC17D21	t=4	Mock	PCV	infant-Mock-t=4	infant-Mock	2.12541212
15920.MOIC17D28	t=5	Mock	PCV	infant-Mock-t=4	infant-Mock	3.37598247
15920.MOIC18D14	t=3	Mock	PBS	infant-Mock-t=3	infant-Mock	1.1374142
15920.MOIC18D21	t=4	Mock	PBS	infant-Mock-t=4	infant-Mock	2.39880308
15920.MOIC18D28	t=5	Mock	PBS	infant-Mock-t=4	infant-Mock	3.12615955
15920.MOIC19D14	t=3	Mock	PBS	infant-Mock-t=3	infant-Mock	1.59319194
15920.MOIC19D21	t=4	Mock	PBS	infant-Mock-t=4	infant-Mock	3.10467771
15920.MOIC19D28	t=5	Mock	PBS	infant-Mock-t=4	infant-Mock	4.56896865
15920.MOIC1D15	t=3	Amp	PCV	infant-Amp-t=3	infant-Amp	3.35803048
15920.MOIC1D22	t=4	Amp	PCV	infant-Amp-t=4	infant-Amp	3.72491629
15920.MOIC1D29	t=5	Amp	PCV	infant-Amp-t=5	infant-Amp	4.67456099
15920.MOIC20D14	t=3	Mock	PBS	infant-Mock-t=3	infant-Mock	5.83264902
15920.MOIC20D21	t=4	Mock	PBS	infant-Mock-t=4	infant-Mock	4.67918338
15920.MOIC20D28	t=5	Mock	PBS	infant-Mock-t=4	infant-Mock	5.09131282
15920.MOIC2D15	t=3	Amp	PCV	infant-Amp-t=3	infant-Amp	2.63171788
15920.MOIC2D22	t=4	Amp	PCV	infant-Amp-t=4	infant-Amp	4.18012645
15920.MOIC2D29	t=5	Amp	PCV	infant-Amp-t=5	infant-Amp	4.76497681
15920.MOIC3D15	t=3	Amp	PBS	infant-Amp-t=3	infant-Amp	3.61462166
15920.MOIC3D22	t=4	Amp	PBS	infant-Amp-t=4	infant-Amp	3.60700419
15920.MOIC3D29	t=5	Amp	PBS	infant-Amp-t=5	infant-Amp	4.13371972
15920.MOIC4D15	t=3	Amp	PBS	infant-Amp-t=3	infant-Amp	3.31141328
15920.MOIC4D22	t=4	Amp	PBS	infant-Amp-t=4	infant-Amp	3.32024925
15920.MOIC4D29	t=5	Amp	PBS	infant-Amp-t=5	infant-Amp	3.15917713
15920.MOIC6D15	t=3	Amp	PBS	infant-Amp-t=3	infant-Amp	3.68219953
15920.MOIC6D22	t=4	Amp	PBS	infant-Amp-t=4	infant-Amp	3.16221355
15920.MOIC6D29	t=5	Amp	PBS	infant-Amp-t=5	infant-Amp	0.97648228
15920.MOIC8D15	t=3	Augmentin	PCV	infant-Augmentin-t=3	infant-Augmentin	2.98953873
15920.MOIC8D22	t=4	Augmentin	PCV	infant-Augmentin-t=4	infant-Augmentin	2.5907299
15920.MOIC8D29	t=5	Augmentin	PCV	infant-Augmentin-t=5	infant-Augmentin	3.89012846
15920.MOIC9D14	t=3	Augmentin	PCV	infant-Augmentin-t=3	infant-Augmentin	2.6220529
15920.MOIC9D21	t=4	Augmentin	PCV	infant-Augmentin-t=4	infant-Augmentin	2.77786896
15920.MOIC9D28	t=5	Augmentin	PCV	infant-Augmentin-t=4	infant-Augmentin	3.40192913
