filename,ATTRIBUTE_Age,ATTRIBUTE_abtreatment,ATTRIBUTE_vaccine,filename2,ATTRIBUTE_day,ATTRIBUTE_time
MEIC1D15,infant,Amp,PCV 20,P2_A1_MEIC1D15.mzML,15,t=3
MEIC2D15,infant,Amp,PCV 20,P2_A2_MEIC2D15.mzML,15,t=3
MEIC3D15,infant,Amp,PBS,P2_A3_MEIC3D15.mzML,15,t=3
MEIC4D15,infant,Amp,PBS,P2_A4_MEIC4D15.mzML,15,t=3
MEIC6D15,infant,Amp,PBS,P2_A5_MEIC6D15.mzML,15,t=3
MEIC8D15,infant,Augmentin,PCV 20,P2_A6_MEIC8D15.mzML,15,t=3
MEIC9D14,infant,Augmentin,PCV 20,P2_A7_MEIC9D14.mzML,14,t=3
MEIC10D15,infant,Augmentin,PBS,P2_A8_MEIC10D15.mzML,15,t=3
MEIC11D15,infant,Augmentin,PCV 20,P2_A9_MEIC11D15.mzML,15,t=3
MEIC12D14,infant,Augmentin,PBS,P2_A10_MEIC12D14.mzML,14,t=3
MEIC13D15,infant,Augmentin,PCV 20,P2_A11_MEIC13D15.mzML,15,t=3
MEIC14D14,infant,Augmentin,PCV 20,P2_A12_MEIC14D14.mzML,14,t=3
MEIC15D14,infant,Mock,PCV 20,P2_B1_MEIC15D14.mzML,14,t=3
MEIC16D14,infant,Mock,PCV 20,P2_B2_MEIC16D14.mzML,14,t=3
MEIC17D14,infant,Mock,PCV 20,P2_B3_MEIC17D14.mzML,14,t=3
MEIC18D14,infant,Mock,PBS,P2_B4_MEIC18D14.mzML,14,t=3
MEIC19D14,infant,Mock,PBS,P2_B5_MEIC19D14.mzML,14,t=3
MEIC20D14,infant,Mock,PBS,P2_B6_MEIC20D14.mzML,14,t=3
MEIC1D22,infant,Amp,PCV 20,P2_B7_MEIC1D22.mzML,22,t=4
MEIC2D22,infant,Amp,PCV 20,P2_B8_MEIC2D22.mzML,22,t=4
MEIC3D22,infant,Amp,PBS,P2_B9_MEIC3D22.mzML,22,t=4
MEIC4D22,infant,Amp,PBS,P2_B10_MEIC4D22.mzML,22,t=4
MEIC6D22,infant,Amp,PBS,P2_B11_MEIC6D22.mzML,22,t=4
MEIC8D22,infant,Augmentin,PCV 20,P2_B12_MEIC8D22.mzML,22,t=4
MEIC9D21,infant,Augmentin,PCV 20,P2_C1_MEIC9D21.mzML,21,t=4
MEIC10D22,infant,Augmentin,PBS,P2_C2_MEIC10D22.mzML,22,t=4
MEIC11D22,infant,Augmentin,PCV 20,P2_C3_MEIC11D22.mzML,22,t=4
MEIC12D21,infant,Augmentin,PBS,P2_C4_MEIC12D21.mzML,21,t=4
MEIC13D22,infant,Augmentin,PCV 20,P2_C5_MEIC13D22.mzML,22,t=4
MEIC14D21,infant,Augmentin,PCV 20,P2_C6_MEIC14D21.mzML,21,t=4
MEIC15D21,infant,Mock,PCV 20,P2_C7_MEIC15D21.mzML,21,t=4
MEIC16D21,infant,Mock,PCV 20,P2_C8_MEIC16D21.mzML,21,t=4
MEIC17D21,infant,Mock,PCV 20,P2_C9_MEIC17D21.mzML,21,t=4
MEIC18D21,infant,Mock,PBS,P2_C10_MEIC18D21.mzML,21,t=4
MEIC19D21,infant,Mock,PBS,P2_C11_MEIC19D21.mzML,21,t=4
MEIC20D21,infant,Mock,PBS,P2_C12_MEIC20D21.mzML,21,t=4
MEIC1D29,infant,Amp,PCV 20,P2_D1_MEIC1D29.mzML,29,t=5
MEIC2D29,infant,Amp,PCV 20,P2_D2_MEIC2D29.mzML,29,t=5
MEIC3D29,infant,Amp,PBS,P2_D3_MEIC3D29.mzML,29,t=5
MEIC4D29,infant,Amp,PBS,P2_D4_MEIC4D29.mzML,29,t=5
MEIC6D29,infant,Amp,PBS,P2_D5_MEIC6D29.mzML,29,t=5
MEIC8D29,infant,Augmentin,PCV 20,P2_D6_MEIC8D29.mzML,29,t=5
MEIC9D28,infant,Augmentin,PCV 20,P2_D7_MEIC9D28.mzML,28,t=5
MEIC9D28,infant,Augmentin,PCV 20,P2_E7_MEIC9D28.mzML,28,t=5
MEIC10D29,infant,Augmentin,PBS,P2_D8_MEIC10D29.mzML,29,t=5
MEIC11D29,infant,Augmentin,PCV 20,P2_D9_MEIC11D29.mzML,29,t=5
MEIC12D28,infant,Augmentin,PBS,P2_D10_MEIC12D28.mzML,28,t=5
MEIC13D29,infant,Augmentin,PCV 20,P2_D11_MEIC13D29.mzML,29,t=5
MEIC14D28,infant,Augmentin,PCV 20,P2_D12_MEIC14D28.mzML,28,t=5
MEIC15D28,infant,Mock,PCV 20,P2_E1_MEIC15D28.mzML,28,t=5
MEIC16D28,infant,Mock,PCV 20,P2_E2_MEIC16D28.mzML,28,t=5
MEIC17D28,infant,Mock,PCV 20,P2_E3_MEIC17D28.mzML,28,t=5
MEIC18D28,infant,Mock,PBS,P2_E4_MEIC18D28.mzML,28,t=5
MEIC19D28,infant,Mock,PBS,P2_E5_MEIC19D28.mzML,28,t=5
MEIC20D28,infant,Mock,PBS,P2_E6_MEIC20D28.mzML,28,t=5
MEC1D0,mom,Amp,NA,P1_A1_MEC1D0.mzML,0,t=1
MEC2D0,mom,Amp,NA,P1_A2_MEC2D0.mzML,0,t=1
MEC3D0,mom,Amp,NA,P1_A3_MEC3D0.mzML,0,t=1
MEC4D0,mom,Amp,NA,P1_A4_MEC4D0.mzML,0,t=1
MEC6D0,mom,Amp,NA,P1_A5_MEC6D0.mzML,0,t=1
MEC8D0,mom,Augmentin,NA,P1_A6_MEC8D0.mzML,0,t=1
MEC10D0,mom,Augmentin,NA,P1_B1_MEC10D0.mzML,0,t=1
MEC11D0,mom,Augmentin,NA,P1_B2_MEC11D0.mzML,0,t=1
MEC13D0,mom,Augmentin,NA,P1_B3_MEC13D0.mzML,0,t=1
MEC5D0,mom,Amp,NA,P1_B4_MEC5D0.mzML,0,t=1
MEC90D0,mom,Augmentin,NA,P1_B5_MEC90D0.mzML,0,t=1
